Linguistic,Advertisement   Bulletin board   Comic strip  Debate  Demonstration   Editorial essay  Fairy tale  Poster  Fiction story  Interview  Jingle  Joke book  Journal Lesson  Letter Newspaper story   Oral report  Pamphlet  Petition  Poem  Press conference  Radio program  Riddle  Science fiction story  Skit  Slogan   Story telling  TV program Worksheet,
Logical/  Mathematical,Advertisement Presentation Annotated Bib flashcards Char  Code  Collage  Collection  Computer program  Crossword puzzle  Data base  Debate  Demonstration  Detailed illustration  Edibles  Experiment  Fact tile  Family tree  Game  Graph  Hidden picture  Labeled diagram  Large scale drawing  Lesson  Map with legend  Mazes  Mobile  Model  Petition  Play  Prototype  Puzzle  Recipe  Riddle  Survey  Timeline  Transparencies  Venn diagram  Working hypothesis,
Spatial,Animated movie  Gallery  Bulletin board  Bumper sticker  Cartoon  Chart  Clay sculpture  Collage  Costumes  Demonstration  Diorama  Display  Etching  Film  Filmstrip  Flipbook  Game  Graph  Hidden picture  Illustrated story  Maze  Mobile  Model  Mosaic  Mural  Painting  Paper mache  Photo essay  Picture story  Pictures  Play  Political cartoon  Pop-up book  Prototype  Rebus story  Slide show  Story cube  Travel brochure  TV program  Web home page,
Bodily/  Kinesthetic,Audi-video tape  Choral reading  Fairy tale  Film  Instrumental  Juke box  Musical  Poem  Rap song  Riddle  Role playing  Song  Sound,
